Marca,Modelo,Ano,Combustível,Lance,Taxa Adm,Valor_FIPE,BrandID
SR,LIBRELATO CRBACDI2 2E BASCULANTE,22/22,--,5.400,null,0
SR,LIBRELATO CRBAENI2 2E BASCULANTE,22/22,--,0,null,0
SR,LIBRELATO CRBACDI2 2E BASCULANTE,22/22,--,5.400,null,0
SR,LIBRELATO CRBAENI2 2E BASCULANTE,22/22,--,0,null,0
SR,NOMA SR2E18RT1 CG C ABERTA,18/18,--,5.400,null,0
SR,NOMA SR2E18RT2 CG C ABERTA,18/18,--,0,null,0
SR,SCHIFFER SSC2ECA TRAS C ABERTA,11/11,--,10.800,null,0
SR,SCHIFFER SSC2ECA DIAN C ABERTA,11/11,--,0,null,0
SR,RANDON SR CA C ABERTA,12/12,--,5.400,null,0
SR,RANDON SR CA C ABERTA,12/12,--,0,null,0
PALETEIRA,BT MOD LPE 200,  ,--,CONSULTE TABELA,null,0
PALETEIRA,BT MOD LWE,  ,--,CONSULTE TABELA,null,0
PALETEIRA,BT MOD LWE200,13/13,--,CONSULTE TABELA,null,0
PALETEIRA,BT MOD LWE200,13/13,--,CONSULTE TABELA,null,0
PALETEIRA,BT MOD LWE200,13/13,--,CONSULTE TABELA,null,0
PALETEIRA,BT MOD LWE200,13/13,--,CONSULTE TABELA,null,0
PALETEIRA,BT MOD LWE200C,12/12,--,CONSULTE TABELA,null,0
